phone_number,name,age,international_plan,voice_mail_plan,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
329-9689,Grover,23,1,0,102,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12,8,3.24,3,0
337-8950,Dina,33,0,0,123,0,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46,3,0
374-1836,Pamula,40,0,1,64,43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,1,0
359-9454,Delicia,22,0,0,103,0,190.9,62,32.45,226.6,53,19.26,230.1,96,10.35,7.8,3,2.11,2,0
378-9542,Deetta,26,0,0,152,0,317.8,60,54.03,152.9,100,13,123.4,63,5.55,10.4,7,2.81,1,1
344-1970,Sharita,33,0,0,124,0,312,112,53.04,180,109,15.3,168.6,94,7.59,12.8,4,3.46,1,1
417-2774,Jamaal,32,0,0,97,0,146,121,24.82,203,141,17.26,151.8,120,6.83,13.3,2,3.59,1,0
333-9002,Rosella,33,0,0,131,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1,1
369-8576,Dirk,23,0,1,57,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3,2,0
372-6920,Jonie,33,0,0,157,0,185.1,92,31.47,213,85,18.11,196.1,85,8.82,8.5,5,2.3,2,0
333-6575,Perla,28,0,0,194,0,193.3,106,32.86,169,150,14.37,225.2,122,10.13,11.8,4,3.19,0,0
410-1190,Darlena,38,0,0,66,0,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11,1,0
376-1641,Leida,22,0,0,155,0,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32,0,0
329-6731,Monserrate,40,0,0,123,0,123.2,104,20.94,190,117,16.15,170.3,95,7.66,12.9,5,3.48,4,1
393-3976,Phyllis,25,0,0,116,0,205,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2,0
388-7355,Gerry,37,0,0,63,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1,0
412-7791,Russel,34,0,0,64,0,216.9,78,36.87,211,115,17.94,179.8,116,8.09,11.4,5,3.08,3,0
368-6111,Lance,25,0,0,96,0,150,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,3,0
401-9420,Latia,35,0,0,53,0,164.1,106,27.9,206,56,17.51,194.7,124,8.76,11.4,2,3.08,1,0
352-5750,Jetta,32,0,0,105,0,212,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,3,0
417-3702,Galen,34,0,1,53,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12,9,3.24,2,0
353-5714,Otelia,31,0,0,101,0,154.4,130,26.25,217.2,101,18.46,185.4,52,8.34,13.9,4,3.75,1,0
409-9494,Griselda,25,0,1,129,30,177.3,95,30.14,211.8,102,18,240.2,108,10.81,9.3,7,2.51,3,0
395-1901,Sade,30,0,0,122,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1,1
378-8342,Carlton,21,0,0,163,0,202.9,100,34.49,178.6,46,15.18,203.8,116,9.17,12.8,3,3.46,5,0
417-6044,Karima,24,0,0,93,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0,0
348-1163,Amparo,31,1,0,115,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,1
337-4600,Alden,28,0,0,25,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,1,1
355-5922,Jason,39,0,0,73,0,122,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,1,0
369-5810,Micah,38,0,0,120,0,177.2,88,30.12,270.4,99,22.98,231.5,90,10.42,14,2,3.78,2,0
340-8291,Leopoldo,35,0,0,196,0,133.1,80,22.63,206.5,120,17.55,221.6,96,9.97,10.3,8,2.78,1,0
354-7397,Marleen,40,0,0,97,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0,1
407-7464,Dorene,21,0,0,148,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,0
386-6411,Kit,23,0,1,85,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,0
397-3746,Willodean,20,1,0,86,0,162.4,131,27.61,167,102,14.2,128.9,118,5.8,11.4,2,3.08,2,1
410-5236,Sidney,30,0,1,78,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,0
409-2412,Alphonso,25,0,0,106,0,208.3,89,35.41,169.4,67,14.4,102,90,4.59,15.9,4,4.29,3,0
400-7280,Sharla,27,0,1,147,38,243.4,126,41.38,273.8,109,23.27,282.9,91,12.73,14.1,8,3.81,2,0
332-5820,Phylicia,25,0,0,145,0,224.2,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,1,1
373-4483,Georgetta,25,0,0,91,0,189.3,100,32.18,239.3,107,20.34,89.7,89,4.04,9.9,3,2.67,3,0
347-6717,Dallas,25,0,1,81,46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,0
380-2929,Gale,26,0,1,116,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1,0
420-7692,Emeline,21,0,1,69,37,155,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,1,0
380-6437,Necole,23,0,0,135,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,0
377-8309,Kacey,30,0,0,73,0,234.7,102,39.9,195.7,110,16.63,253.4,71,11.4,8.4,8,2.27,2,0
407-2718,Bud,23,0,0,48,0,240,88,40.8,141,117,11.99,128.9,137,5.8,7.1,9,1.92,1,0
357-1938,Hue,28,1,0,125,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,0,1
381-3735,Bea,28,0,0,100,0,166,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1,0
409-8453,Lottie,25,0,1,165,33,111.6,140,18.97,213.3,111,18.13,267.6,115,12.04,16,3,4.32,0,0
395-6758,Babara,26,0,0,64,0,174.5,98,29.67,180.2,103,15.32,179,89,8.06,10.7,2,2.89,2,0
399-5424,Faviola,27,1,1,116,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,1,0
409-4671,Mirtha,36,1,1,147,35,157.5,109,26.78,189.6,67,16.12,227,76,10.22,11.1,2,3,3,1
374-6525,Kyoko,34,0,0,115,0,206.2,113,35.05,176.4,102,14.99,297.1,119,13.37,11,7,2.97,1,0
406-8665,Aurelio,20,0,1,84,35,207.5,138,35.28,201,116,17.09,164.5,107,7.4,7.5,16,2.03,4,0
342-7716,Tennie,30,0,1,86,16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,4,0
417-2221,Dean,27,0,0,134,0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,0
376-5213,Rachel,37,0,0,105,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0,1
348-7448,Jessie,29,0,0,88,0,152.9,119,25.99,171.2,107,14.55,257,106,11.57,12,5,3.24,2,0
328-8179,Daniele,36,0,1,90,27,156.7,51,26.64,236.5,118,20.1,123.2,111,5.54,12.6,6,3.4,2,0
389-4602,Dominique,20,0,0,86,0,150.8,85,25.64,295.9,88,25.15,247.2,104,11.12,12.5,1,3.38,1,0
413-2238,Sherie,38,0,0,37,0,221,126,37.57,204.5,110,17.38,118,98,5.31,6.8,3,1.84,4,0
402-3370,Aisha,34,0,1,141,32,322.4,92,54.81,283.2,107,24.07,209.5,111,9.43,6.7,3,1.81,1,1
348-6008,Kathyrn,28,0,0,148,0,153.6,148,26.11,262.1,87,22.28,225.5,99,10.15,9.8,3,2.65,2,0
371-5655,Edda,20,0,1,163,22,215.1,91,36.57,138.9,102,11.81,146.2,109,6.58,12.4,2,3.35,2,0
374-5224,Reda,31,0,1,89,35,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,1,0
371-1187,Hulda,28,0,0,63,0,180.5,126,30.69,230,98,19.55,232.5,73,10.46,10.6,3,2.86,0,0
337-1100,Rosie,23,0,0,102,0,123.1,106,20.93,182,102,15.47,244.6,75,11.01,12.6,7,3.4,2,0
421-8141,Molly,33,0,0,76,0,165.7,94,28.17,257.4,80,21.88,170.8,114,7.69,10,4,2.7,1,0
406-2678,Zack,24,0,0,104,0,200.2,92,34.03,118.7,87,10.09,236.6,65,10.65,6,6,1.62,2,0
415-9649,Season,25,0,0,109,0,154.8,82,26.32,287.7,109,24.45,208.4,80,9.38,5.9,9,1.59,3,0
364-8128,Frieda,35,0,0,105,0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2,0
356-7817,Zina,33,0,1,63,33,184.2,111,31.31,312.6,89,26.57,264,55,11.88,12.2,4,3.29,1,0
404-6357,Georgette,27,0,1,105,24,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,3,0
398-2138,Taren,38,1,1,68,39,142,140,24.14,241.6,89,20.54,302,72,13.59,11.3,5,3.05,1,0
378-8029,Riva,29,1,1,63,21,151.5,99,25.76,147.8,89,12.56,210.4,114,9.47,10,4,2.7,1,0
386-4215,Hassan,33,0,0,74,0,124.8,114,21.22,133,121,11.31,160.3,85,7.21,10.6,7,2.86,3,0
367-8156,Gay,21,0,0,76,0,179.2,85,30.46,222.9,66,18.95,188.2,113,8.47,12.4,2,3.35,0,0
382-8079,Samual,33,1,0,91,0,246.4,110,41.89,182,98,15.47,157.6,106,7.09,12.1,2,3.27,2,1
354-2985,Yevette,35,0,0,101,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,11.5,6,3.11,5,0
373-6922,Elba,23,0,0,116,0,288,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,1
397-7125,Jc,22,0,1,131,23,170.8,145,29.04,236.7,93,20.12,294.5,100,13.25,12.7,1,3.43,1,0
333-6296,Terisa,33,0,0,84,0,216.1,114,36.74,197.5,107,16.79,217.8,104,9.8,9.8,3,2.65,1,0
365-6022,Cammie,36,0,0,104,0,138.7,100,23.58,215.4,58,18.31,164.3,98,7.39,4.9,4,1.32,2,0
365-1688,Allegra,27,0,0,108,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3,0
382-4872,Terrell,38,0,0,111,0,181.8,117,30.91,158.1,91,13.44,266.2,123,11.98,9.7,9,2.62,0,0
367-6136,Julio,26,0,1,155,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,1,0
404-3592,Linette,35,0,0,66,0,207.7,85,35.31,196.7,112,16.72,261.7,83,11.78,6.8,3,1.84,1,0
415-2949,Cheryll,20,0,0,64,0,219.2,73,37.26,167,65,14.2,161.4,119,7.26,10,5,2.7,1,0
375-8880,Vernie,40,0,0,69,0,227,122,38.59,258.7,111,21.99,169.7,87,7.64,8.9,1,2.4,2,0
335-6832,Jonah,40,0,0,116,0,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,8.9,5,2.4,3,0
361-8367,Jack,39,0,0,101,0,257.3,84,43.74,184.8,115,15.71,108.9,109,4.9,13.5,7,3.65,0,0
408-2002,Cora,30,0,0,15,0,121.1,130,20.59,216,86,18.36,235.1,33,10.58,16.1,5,4.35,2,0
347-8659,Candyce,39,0,0,88,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,1
376-2922,Rebecka,27,0,0,197,0,233.9,96,39.76,218.9,111,18.61,182.9,109,8.23,9.5,3,2.57,0,0
382-2182,Lydia,39,1,0,50,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,1
408-2089,Vilma,32,0,0,172,0,169.8,123,28.87,183.1,94,15.56,395,72,17.77,12.7,7,3.43,2,0
369-6890,Cristi,37,1,1,188,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1,1
347-2951,Khalilah,26,1,0,85,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,3,0
420-6324,Phebe,27,1,0,103,0,255.9,128,43.5,140.9,92,11.98,308.9,130,13.9,12.1,2,3.27,1,1
402-7650,Jamie,30,0,1,136,27,187.7,84,31.91,221,147,18.79,145.7,110,6.56,10,4,2.7,3,0
391-2702,Shannon,37,0,1,155,21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,0,0
383-3375,Kellee,36,0,0,145,0,129.4,97,22,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,2,0
392-2733,Lea,29,0,1,116,12,221,108,37.57,151,118,12.84,179,80,8.06,9,6,2.43,2,0
397-9933,My,26,0,0,152,0,140.5,92,23.89,186.8,96,15.88,227,89,10.22,9.5,5,2.57,2,0
383-9306,Gilberte,29,1,0,65,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,0,1
369-1929,Fleta,37,0,0,180,0,224.9,105,38.23,250,101,21.25,216.1,73,9.72,6.7,5,1.81,3,1
369-4377,Jacqualine,31,0,0,67,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0,0
366-9430,Christena,30,0,0,60,0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0,0
353-7407,Alix,37,0,0,138,0,205.9,96,35,257.1,94,21.85,209,63,9.4,12.1,8,3.27,0,0
359-7426,Lashanda,31,0,0,44,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,1
332-7391,Victoria,30,0,0,25,0,242.6,69,41.24,209,117,17.77,219.7,82,9.89,14.4,6,3.89,2,0
405-6559,Cornell,38,0,0,145,0,229.6,82,39.03,138.1,103,11.74,250.8,109,11.29,3.3,3,0.89,1,0
338-8784,Emilie,21,0,1,122,28,166,62,28.22,233.9,88,19.88,170.1,84,7.65,7.7,3,2.08,2,0
415-6347,Charita,38,0,0,121,0,144.8,126,24.62,200.6,82,17.05,208.8,81,9.4,13.3,9,3.59,0,1
354-5058,Betsey,40,1,0,55,0,106.1,77,18.04,123.5,100,10.5,96.4,92,4.34,12.9,3,3.48,0,0
342-5701,Jeremiah,38,0,0,77,0,221.8,84,37.71,166,125,14.11,210.2,72,9.46,13.2,4,3.56,1,0
378-4179,Tory,31,0,0,12,0,204.6,98,34.78,212.5,90,18.06,182.1,95,8.19,9.8,7,2.65,2,0
407-6391,Lizzette,36,0,0,64,0,213.5,93,36.3,166.6,114,14.16,122,78,5.49,14.1,3,3.81,3,0
404-3105,Mathilda,32,0,1,92,44,152,95,25.84,274.9,73,23.37,162.4,121,7.31,10,1,2.7,2,0
390-9735,Charlene,36,1,1,125,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17,6,4.59,1,1
350-4820,Carita,33,0,0,160,0,166.4,117,28.29,317,129,26.95,160.4,121,7.22,10,2,2.7,1,0
383-8807,Clement,31,0,0,79,0,177.9,83,30.24,167.3,84,14.22,223.7,142,10.07,15.2,8,4.1,0,0
366-8382,Brandee,36,0,0,36,0,235.1,97,39.97,196.8,104,16.73,259.7,110,11.69,7,7,1.89,3,0
402-9704,Analisa,29,0,0,102,0,186.8,92,31.76,173.7,123,14.76,250.9,131,11.29,9.7,4,2.62,2,0
405-2209,Rodolfo,29,1,0,138,0,268.4,81,45.63,174.4,115,14.82,193.5,96,8.71,11.6,4,3.13,1,0
397-3939,Quinton,26,0,0,164,0,192.1,95,32.66,249.8,94,21.23,132.6,100,5.97,7.3,3,1.97,3,0
343-2689,Hannah,23,0,0,125,0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0,1
383-9448,Tish,30,0,0,72,0,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2,0
359-6232,Carmel,20,0,0,74,0,314.1,86,53.4,222.4,99,18.9,259,121,11.66,12.3,5,3.32,3,1
369-9772,Cherlyn,28,0,1,134,41,162,82,27.54,324.7,77,27.6,160.1,112,7.2,11.9,5,3.21,0,0
381-7003,Sheryl,21,0,0,145,0,175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1,0
352-6732,Brianna,31,0,0,136,0,109.4,91,18.6,207.5,111,17.64,135,107,6.08,11.6,5,3.13,0,0
388-7540,Royal,22,0,0,209,0,255.1,124,43.37,230.6,110,19.6,218,69,9.81,8.5,5,2.3,3,1
356-3333,Avery,32,1,0,66,0,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,8.3,3,2.24,3,0
333-9664,Jannie,26,0,1,152,20,214.6,108,36.48,96.6,82,8.21,170.7,145,7.68,7.9,5,2.13,1,0
363-3763,Young,29,0,0,162,0,49.2,121,8.36,143.9,136,12.23,203,97,9.14,12.1,13,3.27,1,0
345-7900,Kassandra,24,0,0,72,0,141.3,133,24.02,134.9,96,11.47,227.5,97,10.24,11.2,3,3.02,2,0
400-5511,Prince,40,0,0,101,0,253.2,89,43.04,237.9,114,20.22,154.3,85,6.94,9.7,7,2.62,4,0
381-7597,Nenita,33,0,0,125,0,206,128,35.02,198.1,71,16.84,135.9,116,6.12,13.2,3,3.56,0,0
404-9775,Shanita,26,0,0,46,0,40.4,105,6.87,172.4,83,14.65,145.1,89,6.53,9,2,2.43,2,0
389-4608,Dane,33,0,0,132,0,291.2,104,49.5,234.2,132,19.91,191.7,87,8.63,8.9,3,2.4,1,1
403-1742,Yee,20,0,1,193,31,71.2,58,12.1,124.7,105,10.6,155.5,108,7,11.7,3,3.16,0,0
328-9797,Sherley,28,0,0,63,0,261.8,69,44.51,245,135,20.83,202.1,94,9.09,14.7,4,3.97,0,1
359-9223,Michel,26,0,0,124,0,191.3,134,32.52,261.5,113,22.23,182.3,111,8.2,10,3,2.7,1,0
336-7696,Gail,40,0,0,144,0,133.3,101,22.66,255.5,127,21.72,228.6,68,10.29,11.6,2,3.13,0,0
369-2214,Mose,33,0,1,116,24,183.6,138,31.21,203.8,90,17.32,166.9,89,7.51,6,3,1.62,2,0
411-1325,Meda,37,0,1,189,30,155.2,116,26.38,195.5,50,16.62,170.1,108,7.65,15.4,6,4.16,1,0
410-7553,Bert,37,0,1,97,28,283.1,93,48.13,185.4,98,15.76,312.8,78,14.08,6.1,8,1.65,1,0
376-4284,Larae,30,0,1,137,50,186.5,94,31.71,178,106,15.13,215.6,100,9.7,12.1,4,3.27,2,0
334-2800,Merrie,24,0,1,142,38,163.3,104,27.76,136,114,11.56,249.1,127,11.21,4.3,6,1.16,0,0
369-1904,Gema,26,0,0,84,0,203.4,125,34.58,182.9,88,15.55,213.7,121,9.62,13.8,2,3.73,1,0
359-3833,Jeromy,22,0,1,119,19,178.1,110,30.28,212.8,100,18.09,226.3,123,10.18,10,6,2.7,1,0
348-5569,Dewey,26,0,0,158,0,195.9,103,33.3,89.1,95,7.57,302.2,82,13.6,10.3,3,2.78,1,0
342-1960,Rosita,37,0,0,50,0,295.3,127,50.2,127.4,100,10.83,166.8,105,7.51,9.6,6,2.59,1,0
352-9050,Marcos,34,0,0,98,0,136.1,82,23.14,156.3,118,13.29,158.8,83,7.15,10.1,5,2.73,2,0
390-5316,Penney,20,0,1,101,24,114.1,95,19.4,161.5,86,13.73,176.3,90,7.93,13,9,3.51,2,0
418-8568,Antwan,31,0,0,182,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,1
401-4844,Corene,40,0,0,51,0,169.3,111,28.78,139.5,69,11.86,197,87,8.87,12,3,3.24,0,0
376-5471,Lashawn,22,0,0,117,0,214.4,94,36.45,138,149,11.73,148.7,102,6.69,9.9,1,2.67,2,0
409-2917,Lynwood,30,1,0,92,0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,11.7,3,3.16,0,0
369-6308,Sherell,37,0,0,86,0,148.2,71,25.19,285.1,91,24.23,166.4,155,7.49,6.2,3,1.67,2,0
357-7385,Myron,22,0,0,122,0,119.3,93,20.28,223.9,103,19.03,211.9,122,9.54,8.7,4,2.35,2,0
405-7119,Shaniqua,26,0,1,156,27,192.3,137,32.69,199.9,115,16.99,244.2,112,10.99,14.8,8,4,1,0
405-3309,Valorie,40,0,0,127,0,245.2,91,41.68,217.2,92,18.46,243.1,128,10.94,13.9,6,3.75,0,1
384-4938,Marc,39,1,0,130,0,216.2,106,36.75,363.7,86,30.91,126.7,123,5.7,16.9,2,4.56,5,1
377-2725,Serita,29,0,0,158,0,172.4,114,29.31,256.6,69,21.81,235.3,104,10.59,0,0,0,2,0
405-6398,Rene,40,1,1,145,30,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,11.1,3,3,1,0
355-9366,Latarsha,28,1,1,90,26,169,104,28.73,188.8,104,16.05,213.3,76,9.6,13.3,3,3.59,0,1
403-1128,Heidi,35,0,1,127,27,2.6,113,0.44,254,102,21.59,242.7,156,10.92,9.2,5,2.48,3,0
384-9682,Claris,31,0,0,109,0,184.1,143,31.3,211.7,105,17.99,243,116,10.93,9.9,2,2.67,1,0
352-5393,Edith,30,0,0,88,0,181.9,90,30.92,151.5,87,12.88,143,100,6.44,7.5,3,2.03,1,0
395-1229,Shani,20,0,1,101,9,160.1,116,27.22,210,121,17.85,139.1,65,6.26,10.8,9,2.92,0,0
361-9195,Nakia,23,0,0,171,0,189.8,122,32.27,173.7,85,14.76,257.1,84,11.57,10.3,1,2.78,0,0
351-6366,Moira,29,0,0,21,0,223.2,142,37.94,216.5,114,18.4,214.7,111,9.66,12.4,2,3.35,1,0
346-4919,Lisette,27,0,1,145,31,216,94,36.72,225.1,123,19.13,234.7,109,10.56,10.7,1,2.89,2,0
354-9068,Rosario,39,0,0,90,0,198.5,124,33.75,266.6,100,22.66,243.3,80,10.95,8,7,2.16,2,0
369-2743,Shanda,28,0,0,33,0,159.5,115,27.12,195.4,118,16.61,102.4,86,4.61,7.1,7,1.92,1,0
343-1347,Dalton,40,0,1,61,40,105,78,17.85,180.6,100,15.35,174.1,115,7.83,10.2,2,2.75,2,1
336-5495,Gregg,27,0,0,107,0,204.5,108,34.77,162.4,110,13.8,155,102,6.98,13.4,1,3.62,3,0
376-4292,Karena,32,0,0,147,0,274,92,46.58,231.8,82,19.7,283.6,83,12.76,6.2,1,1.67,0,1
391-8677,Lulu,24,0,0,117,0,158.7,84,26.98,181.7,91,15.44,177.3,67,7.98,7.7,10,2.08,2,0
350-7273,Justa,23,0,0,95,0,229.9,116,39.08,202.4,110,17.2,171.4,105,7.71,14.2,6,3.83,1,0
400-6454,Marni,28,0,0,186,0,137.8,97,23.43,187.7,118,15.95,146.4,85,6.59,8.7,6,2.35,1,0
422-3052,Claretha,32,0,0,128,0,179.4,94,30.5,270.4,92,22.98,191,88,8.59,7.9,4,2.13,0,0
365-6756,Theresa,24,0,1,55,39,139.3,101,23.68,178.3,117,15.16,246.5,104,11.09,8.1,1,2.19,3,0
406-4158,Wilton,32,0,0,134,0,7.8,86,1.33,171.4,100,14.57,186.5,80,8.39,12.9,2,3.48,2,0
383-4641,Clint,35,0,1,96,23,183.1,88,31.13,147.4,89,12.53,350.2,108,15.76,11.3,7,3.05,1,0
368-5165,Tiana,27,0,0,107,0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0,0
378-2432,Angel,25,0,0,123,0,140,106,23.8,153.7,101,13.06,50.1,87,2.25,12.5,1,3.38,2,0
362-4159,Sherry,36,0,0,35,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2,0
363-7979,Douglass,40,0,0,74,0,177.4,136,30.16,240.3,104,20.43,237.3,133,10.68,12,3,3.24,0,0
334-9818,Nicholas,36,0,0,130,0,115.6,129,19.65,167.8,104,14.26,141.8,124,6.38,12.6,9,3.4,1,0
352-5787,Stephine,30,1,0,137,0,237.3,103,40.34,176.7,84,15.02,263.4,81,11.85,14.2,4,3.83,0,1
332-3617,Verona,34,0,0,88,0,181.5,116,30.86,187,119,15.9,220.3,96,9.91,10.5,7,2.84,1,0
327-9957,Mozelle,26,0,0,80,0,51.5,90,8.76,164,98,13.94,169.4,80,7.62,9.5,4,2.57,3,0
338-7527,Brittani,31,0,1,116,19,155.7,104,26.47,185.4,118,15.76,192.7,116,8.67,8.2,2,2.21,3,0
348-8711,Charmaine,29,0,1,123,23,245,88,41.65,265,105,22.53,239.7,108,10.79,14.9,3,4.02,2,0
421-3226,Emely,21,0,0,120,0,131.7,99,22.39,163.1,109,13.86,201.1,116,9.05,10.7,3,2.89,1,0
391-4358,Rhoda,29,1,0,146,0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,10.5,6,2.84,1,0
379-2523,Masako,26,0,1,106,9,88.5,100,15.05,324.8,109,27.61,79.9,86,3.6,8.2,4,2.21,3,0
419-2369,Selena,24,0,1,121,44,116,85,19.72,150.1,120,12.76,246.8,98,11.11,12,2,3.24,1,0
382-1227,Brandon,37,0,0,137,0,155.5,81,26.44,133.1,94,11.31,253.1,77,11.39,9.1,2,2.46,1,0
409-5749,Vanda,34,0,1,84,30,106.5,65,18.11,225.7,108,19.18,188.6,61,8.49,5.7,3,1.54,2,0
362-7951,Carli,32,0,1,67,31,175.2,68,29.78,199.2,73,16.93,219.8,99,9.89,13.2,6,3.56,1,0
415-3537,Kassie,25,0,0,161,0,154.7,84,26.3,177.8,125,15.11,172.9,90,7.78,5.9,2,1.59,4,1
373-3959,Nadine,26,0,1,134,34,247.2,105,42.02,225.5,133,19.17,186.3,76,8.38,6.1,5,1.65,2,1
358-1346,Loria,38,1,1,62,32,218.4,93,37.13,236.7,132,20.12,192.2,137,8.65,13.2,3,3.56,0,1
381-8422,Kiera,20,0,1,120,24,227.5,81,38.68,234.9,71,19.97,166.4,128,7.49,9,13,2.43,1,0
360-9005,Vanessa,26,0,1,130,30,185,117,31.45,249.5,141,21.21,157.8,103,7.1,7.4,7,2,0,0
344-5967,Rasheeda,35,0,0,20,0,186.8,89,31.76,253.4,51,21.54,273.1,105,12.29,12.3,6,3.32,2,0
396-6390,Chantelle,30,0,0,68,0,158.8,119,27,211.8,105,18,198.1,101,8.91,10.3,3,2.78,1,0
346-5036,Shelia,39,0,0,112,0,208.7,150,35.48,212.8,104,18.09,178.1,98,8.01,8.5,4,2.3,0,0
328-7252,Monty,23,0,0,77,0,185.9,95,31.6,212,98,18.02,282.3,81,12.7,11.3,4,3.05,3,0
360-1745,Lavette,38,0,0,109,0,222.5,74,37.83,169.7,75,14.42,264.3,94,11.89,9,3,2.43,2,0
358-2046,Loma,38,0,0,108,0,201.1,101,34.19,170.7,86,14.51,237.4,113,10.68,11.6,3,3.13,3,0
344-6935,Derick,30,0,1,79,17,167.9,114,28.54,243.7,93,20.71,211.9,114,9.54,9.1,2,2.46,1,0
401-9665,Myles,32,0,0,119,0,239.1,88,40.65,243.5,79,20.7,230.9,92,10.39,10.9,3,2.94,3,1
399-5291,Bong,21,0,0,38,0,175.7,109,29.87,211.8,97,18,137.9,109,6.21,9.2,3,2.48,5,1
409-6588,Fredia,31,0,1,109,29,111.2,90,18.9,263.5,98,22.4,224.7,128,10.11,9,6,2.43,6,1
358-5721,Alba,38,0,0,78,0,87.7,74,14.91,214.8,58,18.26,201.3,147,9.06,10.8,6,2.92,1,0
414-7446,Mechelle,22,0,0,134,0,244.1,99,41.5,246.9,111,20.99,200,133,9,7.2,2,1.94,0,0
